,,,,,,,,,,,,,,,,,,,,,,,10:02:00:00,10:17:25:05
,,,,,,,,,,,,,,,,,,,,,,,10:17:25:05,10:26:11:20
,,,,,,,,,,,,,,,,,,,,,,,10:26:11:20,10:37:55:20
,,,,,,,,,,,,,,,,,,,,,,,10:37:55:20,10:47:02:23
,,,,,,,,,,,,,,,,,,,,,,,10:02:00:00,10:14:47:08
,,,,,,,,,,,,,,,,,,,,,,,10:14:47:08,10:25:34:12
,,,,,,,,,,,,,,,,,,,,,,,10:25:34:12,10:36:47:04
,,,,,,,,,,,,,,,,,,,,,,,10:36:47:04,10:47:14:00
,,,,,,,,,,,,,,,,,,,,,,,10:02:00:00,10:16:53:19
,,,,,,,,,,,,,,,,,,,,,,,10:16:53:19,10:24:13:10
,,,,,,,,,,,,,,,,,,,,,,,10:24:13:10,10:39:31:09
,,,,,,,,,,,,,,,,,,,,,,,10:39:31:09,10:47:14:00
,,,,,,,,,,,,,,,,,,,,,,,10:02:00:00,10:15:14:01
,,,,,,,,,,,,,,,,,,,,,,,10:15:14:01,10:27:37:17
,,,,,,,,,,,,,,,,,,,,,,,10:27:37:17,10:36:47:16
,,,,,,,,,,,,,,,,,,,,,,,10:36:47:16,10:47:41:19
,,,,,,,,,,,,,,,,,,,,,,,10:02:00:00,10:15:18:16
,,,,,,,,,,,,,,,,,,,,,,,10:15:18:16,10:23:23:23
,,,,,,,,,,,,,,,,,,,,,,,10:23:23:23,10:37:08:05
,,,,,,,,,,,,,,,,,,,,,,,10:37:08:05,10:47:15:03
,,,,,,,,,,,,,,,,,,,,,,,10:02:00:00,10:15:05:21
,,,,,,,,,,,,,,,,,,,,,,,10:15:05:21,10:26:45:00
,,,,,,,,,,,,,,,,,,,,,,,10:26:45:00,10:37:36:00
,,,,,,,,,,,,,,,,,,,,,,,10:37:36:00,10:47:28:00
